类别,名称,最低版本,最高版本,窗口模式,对话框模式,子对话框模式,说明
,biOnQueriedVideoDevicesInfo,v4.4,-,X,O,O,
,biOnQueriedVideoDevicesInfoX,v6.4,-,X,O,O,
,biOnRelease,v2.0,v3.4,O,O,X,4.0后需要在其他函数进行原biOnRelease中的操作
,biOnReset,v1.0,v3.4,O,X,X,4.0后改为使用biOnStartSession
,biOnResultOfConfirm,v6.1,-,O,O,O,
,biOnResultOfStandaloneTask,v2.4,-,O,O,O,
,biOnSelectedBusMessage,v2.0,-,X,O,O,
,biOnSelectedBusProtocols,v4.4,-,X,O,O,
,biOnSelectedPath,v2.3,-,O,O,O,
,biOnSelectedPathes,v2.3,-,O,O,O,
,biOnSelectedSignal,v2.0,-,X,O,O,
,biOnSelectedSignals,v4.4,-,O,O,O,
,biOnSetInterest,v1.0,-,O,X,X,
,biOnStartSession,v4.0,-,O,X,X,
,biOnStopSession,v4.0,-,O,X,X,
